kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_depth,koi_duration,koi_time0bk,koi_impact,koi_model_snr,koi_prad,ra,dec,koi_kepmag,kic9,fits_stem,lc_llc_glob,lc_slc_glob
10464078,K00743.01,,FALSE POSITIVE,19.40393776,8918.7,12.2155,172.484253,0.804,214.7,7.18,289.25821,47.635319,15.487,010464078,kplr010464078,kplr010464078-*_llc.fits,kplr010464078-*_slc.fits
10485250,K00745.01,,FALSE POSITIVE,16.46983774,10479.0,9.4378,180.881761,0.292,303.4,7.94,297.15442,47.668701,15.788,010485250,kplr010485250,kplr010485250-*_llc.fits,kplr010485250-*_slc.fits
10526549,K00746.01,Kepler-660 b,CONFIRMED,9.27358173,1288.3,3.2875,173.258155,0.387,87.2,2.47,288.13824,47.724449,15.302,010526549,kplr010526549,kplr010526549-*_llc.fits,kplr010526549-*_slc.fits
10583066,K00747.01,Kepler-661 b,CONFIRMED,6.02930329,1912.7,1.5821,171.602959,0.258,65.4,2.85,283.71088,47.86327,15.784,010583066,kplr010583066,kplr010583066-*_llc.fits,kplr010583066-*_slc.fits
10583180,K00748.01,,FALSE POSITIVE,2.696370652,397.9,3.6129,170.73769,0.044,48.2,1.58,283.76547,47.804298,15.269,010583180,kplr010583180,kplr010583180-*_llc.fits,kplr010583180-*_slc.fits
10601284,K00749.03,Kepler-226 d,CONFIRMED,8.10904807,217.4,3.596,132.8031,0.025,14.1,1.3,292.37613,47.880989,15.416,010601284,kplr010601284,kplr010601284-*_llc.fits,kplr010601284-*_slc.fits
2306756,K00113.01,,FALSE POSITIVE,386.6030528,24927.0,6.8057,166.342079,0.9765,994.0,41.5,292.27374,37.671558,12.394,002306756,kplr002306756,kplr002306756-*_llc.fits,kplr002306756-*_slc.fits
10682541,K00751.01,Kepler-663 b,CONFIRMED,4.99677968,934.7,2.1717,171.74208,0.71,28.2,2.78,297.80826,47.946671,15.861,010682541,kplr010682541,kplr010682541-*_llc.fits,kplr010682541-*_slc.fits
11460018,K00769.01,Kepler-671 b,CONFIRMED,4.280963604,750.8,2.875,171.89659,0.424,61.8,2.3,294.26581,49.314091,15.356,011460018,kplr011460018,kplr011460018-*_llc.fits,kplr011460018-*_slc.fits
11463211,K00770.01,,FALSE POSITIVE,1.50635409,2211.7,1.5155,170.998064,0.86,181.1,4.53,295.66522,49.351009,15.525,011463211,kplr011463211,kplr011463211-*_llc.fits,kplr011463211-*_slc.fits
11465813,K00771.01,,FALSE POSITIVE,670.645531,18091.0,53.412,209.04355,0.701,642.7,14.14,296.69861,49.316479,15.207,011465813,kplr011465813,kplr011465813-*_llc.fits,kplr011465813-*_slc.fits
11493732,K00772.01,,FALSE POSITIVE,61.2563628,5123.3,7.633,173.83826,1.248,85.3,39.87,283.72592,49.479519,15.25,011493732,kplr011493732,kplr011493732-*_llc.fits,kplr011493732-*_slc.fits
11507101,K00773.01,Kepler-672 b,CONFIRMED,38.3775486,724.2,5.588,172.82048,0.468,34.7,2.82,291.72202,49.480869,15.172,011507101,kplr011507101,kplr011507101-*_llc.fits,kplr011507101-*_slc.fits
10910878,K00757.03,Kepler-229 b,CONFIRMED,6.252962249,1036.9,2.5819,171.30126,0.105,47.1,2.65,286.99948,48.37579,15.841,010910878,kplr010910878,kplr010910878-*_llc.fits,kplr010910878-*_slc.fits
10987985,K00758.01,Kepler-665 b,CONFIRMED,16.01308419,1121.9,3.2554,176.3608,0.799,33.2,3.1,297.02563,48.478588,15.39,010987985,kplr010987985,kplr010987985-*_llc.fits,kplr010987985-*_slc.fits
11018648,K00759.02,Kepler-230 c,CONFIRMED,91.7732862,652.0,6.473,193.8378,0.606,19.1,2.12,285.71854,48.505859,15.082,011018648,kplr011018648,kplr011018648-*_llc.fits,kplr011018648-*_slc.fits
11138155,K00760.01,Kepler-1976 b,CONFIRMED,4.959319244,9802.0,2.22739,172.2585292,0.831,696.5,12.21,292.16705,48.727589,15.263,011138155,kplr011138155,kplr011138155-*_llc.fits,kplr011138155-*_slc.fits
11152159,K00761.01,,FALSE POSITIVE,2.701287801,860.4,3.3827,170.69579,1.016,48.3,6.54,297.92365,48.777321,15.54,011152159,kplr011152159,kplr011152159-*_llc.fits,kplr011152159-*_slc.fits
11153539,K00762.01,Kepler-666 b,CONFIRMED,4.49876511,460.0,3.7362,171.34905,0.312,29.5,2.1,298.45685,48.791592,15.395,011153539,kplr011153539,kplr011153539-*_llc.fits,kplr011153539-*_slc.fits
11242721,K00763.01,,FALSE POSITIVE,19.651209505,11766.0,5.2514,179.401981,0.723,513.4,12.42,291.0939,48.933842,15.536,011242721,kplr011242721,kplr011242721-*_llc.fits,kplr011242721-*_slc.fits
11304958,K00764.01,Kepler-667 b,CONFIRMED,41.43958662,2793.1,10.5989,208.93203,0.355,141.1,5.5,295.55505,49.017342,15.4,011304958,kplr011304958,kplr011304958-*_llc.fits,kplr011304958-*_slc.fits
11391957,K00765.01,Kepler-668 b,CONFIRMED,8.35389523,1041.6,2.2514,171.63257,0.023,43.4,2.52,285.49924,49.277351,15.317,011391957,kplr011391957,kplr011391957-*_llc.fits,kplr011391957-*_slc.fits
11403044,K00766.01,Kepler-669 b,CONFIRMED,4.125543472,1487.3,3.1744,169.752585,0.597,128.6,4.43,291.93616,49.253979,15.506,011403044,kplr011403044,kplr011403044-*_llc.fits,kplr011403044-*_slc.fits
11414511,K00767.01,Kepler-670 b,CONFIRMED,2.816504904,16814.0,2.50587,170.9676846,0.105,1406.8,12.21,297.01547,49.225288,15.052,011414511,kplr011414511,kplr011414511-*_llc.fits,kplr011414511-*_slc.fits
11442465,K00768.01,,FALSE POSITIVE,33.93373447,8503.7,14.561,186.67608,0.812,236.1,7.34,284.17233,49.360722,15.716,011442465,kplr011442465,kplr011442465-*_llc.fits,kplr011442465-*_slc.fits
12110942,K00786.01,Kepler-680 b,CONFIRMED,3.689920099,426.7,2.6557,170.36571,0.151,35.6,1.89,291.62241,50.61824,15.242,012110942,kplr012110942,kplr012110942-*_llc.fits,kplr012110942-*_slc.fits
12404086,K00788.01,Kepler-681 b,CONFIRMED,26.39432897,1510.9,3.573,176.05459,0.602,48.2,3.07,289.39972,51.25032,15.234,012404086,kplr012404086,kplr012404086-*_llc.fits,kplr012404086-*_slc.fits
11656840,K00774.01,,FALSE POSITIVE,7.442652004,24446.0,2.3078,169.9717797,0.137,835.6,15.03,288.98682,49.733742,15.27,011656840,kplr011656840,kplr011656840-*_llc.fits,kplr011656840-*_slc.fits
11754553,K00775.03,Kepler-52 d,CONFIRMED,36.4454001,1122.3,4.007,151.60125,0.028,21.7,1.99,286.73804,49.97575,15.095,011754553,kplr011754553,kplr011754553-*_llc.fits,kplr011754553-*_slc.fits
11812062,K00776.01,Kepler-673 b,CONFIRMED,3.728732147,5226.5,2.683,171.793255,0.558,345.2,6.02,290.78574,50.054119,15.523,011812062,kplr011812062,kplr011812062-*_llc.fits,kplr011812062-*_slc.fits
11818800,K00777.01,,CANDIDATE,40.4195037,6256.0,3.362,173.56469,0.911,36.9,7.51,294.31686,50.080231,15.487,011818800,kplr011818800,kplr011818800-*_llc.fits,kplr011818800-*_slc.fits
11853255,K00778.01,Kepler-674 b,CONFIRMED,2.243380573,821.7,1.1196,170.679233,0.915,38.9,1.99,285.17621,50.149818,15.135,011853255,kplr011853255,kplr011853255-*_llc.fits,kplr011853255-*_slc.fits
11909839,K00779.01,,FALSE POSITIVE,10.405998015,14489.0,6.5036,177.197466,0.324,745.2,11.23,289.23553,50.241001,15.562,011909839,kplr011909839,kplr011909839-*_llc.fits,kplr011909839-*_slc.fits
